district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Vikarabad,TSD0019,3618.96,"{ ""min"": 0.00055456685367971659, ""max"": 0.00055456685367971659, ""mean"": 0.00055456681755082363, ""count"": 29, ""sum"": 0.016082437708973885, ""median"": 0.00055456685367971659 }","(77.36247981800005, 16.90300025500005, 78.07315782100005, 17.637813938000022)",28-02-2023.geojson,,,,,,
Wanaparthy,TSD0020,2174.67,"{ ""min"": 0.00055456685367971659, ""max"": 0.00055456685367971659, ""mean"": 0.00055456678900453775, ""count"": 18, ""sum"": 0.0099822022020816803, ""median"": 0.00055456685367971659 }","(77.65718116, 15.94285645900004, 78.31347526600007, 16.626992442000073)",28-02-2023.geojson,,,,,,
Warangal Rural,TSD0021,2139.98,"{ ""min"": 0.00055456685367971659, ""max"": 0.0012094203848391771, ""mean"": 0.00070339720696210861, ""count"": 22, ""sum"": 0.015474738553166389, ""median"": 0.00055456685367971659 }","(79.47950597500005, 17.619303173000105, 80.04124404200007, 18.279223933000026)",28-02-2023.geojson,,,,,,
Warangal Urban,TSD0022,1294.45,"{ ""min"": 0.00055456685367971659, ""max"": 0.00055456685367971659, ""mean"": 0.0005545668303966522, ""count"": 10, ""sum"": 0.0055456683039665222, ""median"": 0.00055456685367971659 }","(79.23082975700004, 17.786163054000042, 79.67163482100005, 18.266255774000058)",28-02-2023.geojson,,,,,,
Yadadri Bhuvanagiri,TSD0023,3422.72,"{ ""min"": 0.00055456685367971659, ""max"": 0.00055456685367971659, ""mean"": 0.00055456683704895634, ""count"": 28, ""sum"": 0.015527871437370777, ""median"": 0.00055456685367971659 }","(78.68260567800007, 17.04419639500003, 79.45808114400006, 17.812669696000114)",28-02-2023.geojson,,,,,,
Narayanpet,TSD0024,2380.13,"{ ""min"": 0.00055456685367971659, ""max"": 0.00055456685367971659, ""mean"": 0.0005545668303966522, ""count"": 20, ""sum"": 0.011091336607933044, ""median"": 0.00055456685367971659 }","(77.23725451100006, 16.34148046400003, 77.79666638000009, 17.061726844000077)",28-02-2023.geojson,,,,,,
Jogulamba Gadwal,TSD0025,2574.21,"{ ""min"": 0.00055456685367971659, ""max"": 0.00055456685367971659, ""mean"": 0.00055456686426292765, ""count"": 22, ""sum"": 0.012200471013784409, ""median"": 0.00055456685367971659 }","(77.48561464400007, 15.836429923000026, 78.25321888900004, 16.362950969000053)",28-02-2023.geojson,,,,,,
Rangareddy,TSD0026,4997.54,"{ ""min"": 0.00055456685367971659, ""max"": 0.00055456685367971659, ""mean"": 0.00055456679405235668, ""count"": 41, ""sum"": 0.022737238556146622, ""median"": 0.00055456685367971659 }","(77.92190617600005, 16.744225033000077, 78.84397639500008, 17.522654105000072)",28-02-2023.geojson,,,,,,
Suryapet,TSD0027,3584.22,"{ ""min"": 0.00055456685367971659, ""max"": 0.0012094203848391771, ""mean"": 0.00059972908990136512, ""count"": 29, ""sum"": 0.017392143607139587, ""median"": 0.00055456685367971659 }","(79.36051795300006, 16.63122235000003, 80.07318026800004, 17.526066134000075)",28-02-2023.geojson,,,,,,
Medchal Malkajgiri,TSD0028,1088.52,"{ ""min"": 0.00055456685367971659, ""max"": 0.00055456685367971659, ""mean"": 0.00055456684074468084, ""count"": 9, ""sum"": 0.0049911015667021275, ""median"": 0.00055456685367971659 }","(78.34798865200008, 17.361463480000054, 78.75985781500003, 17.70854524600003)",28-02-2023.geojson,,,,,,
