mean_value,max_value,min_value,std_value,bounds,source_file
8.733238089253142,15,1,5.643801642771766,"(77.23457792588228, 15.833948332113803, 81.32459292588227, 19.919753332113796)",01-08-2019.tif
8.064464824827162,15,1,6.281005764493436,"(77.23464831998741, 15.835954054267134, 81.32466331998741, 19.919654054267127)",01-09-2019.tif
7.980787495158406,15,1,6.383705147393931,"(77.23464831998741, 15.835944426353297, 81.32466331998741, 19.91964442635329)",01-10-2019.tif
8.74855615860897,15,1,5.6152995760414814,"(77.23457792588228, 15.833948332113803, 81.32459292588227, 19.919753332113796)",02-07-2019.tif
8.172857664457121,15,1,6.171661592259741,"(77.23457792588228, 15.833933890243046, 81.32459292588227, 19.91973889024304)",02-08-2019.tif
8.071647627486456,15,1,6.290312656105087,"(77.23464831998741, 15.835949240310214, 81.32466331998741, 19.919649240310207)",02-09-2019.tif
7.910025149757788,15,1,6.456608907902161,"(77.23464831998741, 15.835939612396377, 81.32466331998741, 19.91963961239637)",02-10-2019.tif
