district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Vikarabad,TSD0019,3618.96,"{ ""min"": 6.3753468741887439e-05, ""max"": 0.0001260079655904562, ""mean"": 7.0449562087385184e-05, ""count"": 946, ""sum"": 0.066645285734666382, ""median"": 6.9479918931715095e-05 }","(77.36247981800005, 16.90300025500005, 78.07315782100005, 17.637813938000022)",01-01-2023.geojson,,,,,,
Wanaparthy,TSD0020,2174.67,"{ ""min"": 5.7678352893736943e-05, ""max"": 6.7396918250675966e-05, ""mean"": 6.2406252945379837e-05, ""count"": 571, ""sum"": 0.035633970431811886, ""median"": 6.2403168145555265e-05 }","(77.65718116, 15.94285645900004, 78.31347526600007, 16.626992442000073)",01-01-2023.geojson,,,,,,
Warangal Rural,TSD0021,2139.98,"{ ""min"": 6.5167004362449537e-05, ""max"": 8.9971781460313136e-05, ""mean"": 7.621911772944762e-05, ""count"": 571, ""sum"": 0.043521116223514594, ""median"": 7.5595303841656476e-05 }","(79.47950597500005, 17.619303173000105, 80.04124404200007, 18.279223933000026)",01-01-2023.geojson,,,,,,
Warangal Urban,TSD0022,1294.45,"{ ""min"": 6.815994583845203e-05, ""max"": 9.2002357194225455e-05, ""mean"": 7.7465608204435021e-05, ""count"": 340, ""sum"": 0.026338306789507909, ""median"": 7.6108817113438161e-05 }","(79.23082975700004, 17.786163054000042, 79.67163482100005, 18.266255774000058)",01-01-2023.geojson,,,,,,
Yadadri Bhuvanagiri,TSD0023,3422.72,"{ ""min"": 5.9198884983028311e-05, ""max"": 7.6318179100246579e-05, ""mean"": 6.5461734515162467e-05, ""count"": 901, ""sum"": 0.058981022798161378, ""median"": 6.4864554126675339e-05 }","(78.68260567800007, 17.04419639500003, 79.45808114400006, 17.812669696000114)",01-01-2023.geojson,,,,,,
Narayanpet,TSD0024,2380.13,"{ ""min"": 6.1904151846848093e-05, ""max"": 0.00017433865930876807, ""mean"": 7.1478743656407906e-05, ""count"": 611, ""sum"": 0.043673512374065235, ""median"": 6.7255462323867387e-05 }","(77.23725451100006, 16.34148046400003, 77.79666638000009, 17.061726844000077)",01-01-2023.geojson,,,,,,
Jogulamba Gadwal,TSD0025,2574.21,"{ ""min"": 5.8868347634718042e-05, ""max"": 6.958951521853041e-05, ""mean"": 6.4911798432924515e-05, ""count"": 665, ""sum"": 0.0431663459578948, ""median"": 6.5312666002148844e-05 }","(77.48561464400007, 15.836429923000026, 78.25321888900004, 16.362950969000053)",01-01-2023.geojson,,,,,,
Rangareddy,TSD0026,4997.54,"{ ""min"": 5.7118546704882162e-05, ""max"": 0.00013531363426632655, ""mean"": 7.242824241287938e-05, ""count"": 1320, ""sum"": 0.095605279985000791, ""median"": 6.9195373426505895e-05 }","(77.92190617600005, 16.744225033000077, 78.84397639500008, 17.522654105000072)",01-01-2023.geojson,,,,,,
Suryapet,TSD0027,3584.22,"{ ""min"": 6.119380060418315e-05, ""max"": 0.00015550662331428021, ""mean"": 8.4761686285410388e-05, ""count"": 941, ""sum"": 0.07976074679457118, ""median"": 7.7269082155777388e-05 }","(79.36051795300006, 16.63122235000003, 80.07318026800004, 17.526066134000075)",01-01-2023.geojson,,,,,,
Medchal Malkajgiri,TSD0028,1088.52,"{ ""min"": 6.9060747117992058e-05, ""max"": 0.00013553502955170683, ""mean"": 8.7884932152696029e-05, ""count"": 288, ""sum"": 0.025310860459976457, ""median"": 8.3764652892011322e-05 }","(78.34798865200008, 17.361463480000054, 78.75985781500003, 17.70854524600003)",01-01-2023.geojson,,,,,,
