district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Wanaparthy,TSD0020,2174.67,"{ ""min"": 0.20856192708015442, ""max"": 0.28070104122161865, ""mean"": 0.25856595281544165, ""count"": 571, ""sum"": 147.64115905761719, ""median"": 0.26125422120094299 }","(77.65718116, 15.94285645900004, 78.31347526600007, 16.626992442000073)",28-02-2023.geojson,,,,,,
Warangal Rural,TSD0021,2139.98,"{ ""min"": 0.31417879462242126, ""max"": 0.38367080688476562, ""mean"": 0.36207155671929731, ""count"": 571, ""sum"": 206.74285888671875, ""median"": 0.36850640177726746 }","(79.47950597500005, 17.619303173000105, 80.04124404200007, 18.279223933000026)",28-02-2023.geojson,,,,,,
Warangal Urban,TSD0022,1294.45,"{ ""min"": 0.31928390264511108, ""max"": 0.38367080688476562, ""mean"": 0.35651669221765853, ""count"": 340, ""sum"": 121.21567535400391, ""median"": 0.35816952586174011 }","(79.23082975700004, 17.786163054000042, 79.67163482100005, 18.266255774000058)",28-02-2023.geojson,,,,,,
Yadadri Bhuvanagiri,TSD0023,3422.72,"{ ""min"": 0.21002073585987091, ""max"": 0.31760832667350769, ""mean"": 0.2718069095590403, ""count"": 901, ""sum"": 244.89802551269531, ""median"": 0.27243205904960632 }","(78.68260567800007, 17.04419639500003, 79.45808114400006, 17.812669696000114)",28-02-2023.geojson,,,,,,
Narayanpet,TSD0024,2380.13,"{ ""min"": 0.18600541353225708, ""max"": 0.26602432131767273, ""mean"": 0.22583572212881034, ""count"": 611, ""sum"": 137.98562622070312, ""median"": 0.22450761497020721 }","(77.23725451100006, 16.34148046400003, 77.79666638000009, 17.061726844000077)",28-02-2023.geojson,,,,,,
Jogulamba Gadwal,TSD0025,2574.21,"{ ""min"": 0.18943086266517639, ""max"": 0.27978867292404175, ""mean"": 0.22446426735784775, ""count"": 665, ""sum"": 149.26873779296875, ""median"": 0.22089019417762756 }","(77.48561464400007, 15.836429923000026, 78.25321888900004, 16.362950969000053)",28-02-2023.geojson,,,,,,
Rangareddy,TSD0026,4997.54,"{ ""min"": 0.17321448028087616, ""max"": 0.24471044540405273, ""mean"": 0.19761195327296402, ""count"": 1320, ""sum"": 260.8477783203125, ""median"": 0.1960718184709549 }","(77.92190617600005, 16.744225033000077, 78.84397639500008, 17.522654105000072)",28-02-2023.geojson,,,,,,
Suryapet,TSD0027,3584.22,"{ ""min"": 0.29748567938804626, ""max"": 0.40140819549560547, ""mean"": 0.35510156613227284, ""count"": 941, ""sum"": 334.15057373046875, ""median"": 0.34979104995727539 }","(79.36051795300006, 16.63122235000003, 80.07318026800004, 17.526066134000075)",28-02-2023.geojson,,,,,,
Medchal Malkajgiri,TSD0028,1088.52,"{ ""min"": 0.0, ""max"": 0.32485327124595642, ""mean"": 0.24294688966539171, ""count"": 288, ""sum"": 69.968704223632812, ""median"": 0.24562530219554901 }","(78.34798865200008, 17.361463480000054, 78.75985781500003, 17.70854524600003)",28-02-2023.geojson,,,,,,
Adilabad,TSD0029,3980.34,"{ ""min"": 0.17898111045360565, ""max"": 0.33446180820465088, ""mean"": 0.20933534180625601, ""count"": 1041, ""sum"": 217.9180908203125, ""median"": 0.19568909704685211 }","(78.17215629700007, 19.17277807100004, 78.97780562900004, 19.91690008100005)",28-02-2023.geojson,,,,,,
Hyderabad,TSD0030,182.64,"{ ""min"": 0.0, ""max"": 0.2272106409072876, ""mean"": 0.12799257040023804, ""count"": 48, ""sum"": 6.1436433792114258, ""median"": 0.2022322416305542 }","(78.38267903300004, 17.293465379000054, 78.55019026600007, 17.483791793000023)",28-02-2023.geojson,,,,,,
Kumurambheem Asifabad,TSD0031,4495.32,"{ ""min"": 0.18274553120136261, ""max"": 0.33645659685134888, ""mean"": 0.21304837660942788, ""count"": 1182, ""sum"": 251.82318115234375, ""median"": 0.20248107612133026 }","(78.80016529900007, 19.050559607000025, 79.97913072000006, 19.617151517000025)",28-02-2023.geojson,,,,,,
