district_name,uid,area,zonalstat,geometry,source_file,mandal_name,mean_value,max_value,min_value,std_value,bounds
Warangal Rural,TSD0021,2139.98,"{ ""min"": 25.412811279296875, ""max"": 26.502777099609375, ""mean"": 25.892924915660512, ""count"": 22, ""sum"": 569.64434814453125, ""median"": 25.847213745117188 }","(79.47950597500005, 17.619303173000105, 80.04124404200007, 18.279223933000026)",28-02-2023.geojson,,,,,,
Warangal Urban,TSD0022,1294.45,"{ ""min"": 25.2099609375, ""max"": 25.8074951171875, ""mean"": 25.532806396484375, ""count"": 10, ""sum"": 255.32806396484375, ""median"": 25.553955078125 }","(79.23082975700004, 17.786163054000042, 79.67163482100005, 18.266255774000058)",28-02-2023.geojson,,,,,,
Yadadri Bhuvanagiri,TSD0023,3422.72,"{ ""min"": 24.3753662109375, ""max"": 25.61444091796875, ""mean"": 25.106451851981028, ""count"": 28, ""sum"": 702.98065185546875, ""median"": 25.168426513671875 }","(78.68260567800007, 17.04419639500003, 79.45808114400006, 17.812669696000114)",28-02-2023.geojson,,,,,,
Narayanpet,TSD0024,2380.13,"{ ""min"": 24.3790283203125, ""max"": 25.14276123046875, ""mean"": 24.809837341308594, ""count"": 20, ""sum"": 496.19674682617188, ""median"": 24.821380615234375 }","(77.23725451100006, 16.34148046400003, 77.79666638000009, 17.061726844000077)",28-02-2023.geojson,,,,,,
Jogulamba Gadwal,TSD0025,2574.21,"{ ""min"": 24.982696533203125, ""max"": 26.5284423828125, ""mean"": 25.658369584517047, ""count"": 22, ""sum"": 564.484130859375, ""median"": 25.533172607421875 }","(77.48561464400007, 15.836429923000026, 78.25321888900004, 16.362950969000053)",28-02-2023.geojson,,,,,,
Rangareddy,TSD0026,4997.54,"{ ""min"": 23.764404296875, ""max"": 25.227081298828125, ""mean"": 24.343964367378049, ""count"": 41, ""sum"": 998.1025390625, ""median"": 24.29595947265625 }","(77.92190617600005, 16.744225033000077, 78.84397639500008, 17.522654105000072)",28-02-2023.geojson,,,,,,
Suryapet,TSD0027,3584.22,"{ ""min"": 25.3272705078125, ""max"": 26.7716064453125, ""mean"": 26.059225148168103, ""count"": 29, ""sum"": 755.717529296875, ""median"": 25.99444580078125 }","(79.36051795300006, 16.63122235000003, 80.07318026800004, 17.526066134000075)",28-02-2023.geojson,,,,,,
Medchal Malkajgiri,TSD0028,1088.52,"{ ""min"": 23.868255615234375, ""max"": 24.8348388671875, ""mean"": 24.300699869791668, ""count"": 9, ""sum"": 218.706298828125, ""median"": 24.32037353515625 }","(78.34798865200008, 17.361463480000054, 78.75985781500003, 17.70854524600003)",28-02-2023.geojson,,,,,,
Adilabad,TSD0029,3980.34,"{ ""min"": 24.401031494140625, ""max"": 25.657196044921875, ""mean"": 25.126320578835227, ""count"": 33, ""sum"": 829.1685791015625, ""median"": 25.227081298828125 }","(78.17215629700007, 19.17277807100004, 78.97780562900004, 19.91690008100005)",28-02-2023.geojson,,,,,,
Hyderabad,TSD0030,182.64,"{ ""min"": 24.17254638671875, ""max"": 24.508575439453125, ""mean"": 24.340560913085938, ""count"": 2, ""sum"": 48.681121826171875, ""median"": 24.340560913085938 }","(78.38267903300004, 17.293465379000054, 78.55019026600007, 17.483791793000023)",28-02-2023.geojson,,,,,,
Kumurambheem Asifabad,TSD0031,4495.32,"{ ""min"": 24.519561767578125, ""max"": 26.621307373046875, ""mean"": 25.624006483289932, ""count"": 36, ""sum"": 922.4642333984375, ""median"": 25.608932495117188 }","(78.80016529900007, 19.050559607000025, 79.97913072000006, 19.617151517000025)",28-02-2023.geojson,,,,,,
Jayashankar Bhupalpally,TSD0032,2946.01,"{ ""min"": 25.8135986328125, ""max"": 27.325164794921875, ""mean"": 26.41277567545573, ""count"": 24, ""sum"": 633.9066162109375, ""median"": 26.253509521484375 }","(79.55918339200008, 18.156703452000045, 80.34460111152396, 18.869152369000062)",28-02-2023.geojson,,,,,,
Mahabubnagar,TSD0033,2749.62,"{ ""min"": 23.6568603515625, ""max"": 25.21484375, ""mean"": 24.477264404296875, ""count"": 26, ""sum"": 636.40887451171875, ""median"": 24.519561767578125 }","(77.67537161200016, 16.378530416000103, 78.369893344, 17.01442864699999)",28-02-2023.geojson,,,,,,
Bhadradri Kothagudem,TSD0001,6974.14,"{ ""min"": 29.9071044921875, ""max"": 31.589202880859375, ""mean"": 30.783069241431452, ""count"": 62, ""sum"": 1908.55029296875, ""median"": 30.771316528320312 }","(80.20302028700007, 17.190519193000057, 81.31479948400005, 18.238859586000046)",30-04-2023.geojson,,,,,,
Jagtial,TSD0002,2853.09,"{ ""min"": 29.1282958984375, ""max"": 30.94500732421875, ""mean"": 30.169825627253605, ""count"": 26, ""sum"": 784.41546630859375, ""median"": 30.221206665039062 }","(78.51948718900007, 18.563739734000023, 79.29767471800005, 19.07988819600007)",30-04-2023.geojson,,,,,,
Jangoan,TSD0003,2112.71,"{ ""min"": 28.659271240234375, ""max"": 30.20819091796875, ""mean"": 29.448961759868421, ""count"": 19, ""sum"": 559.5302734375, ""median"": 29.425048828125 }","(78.86787166400006, 17.491730369000038, 79.56249112400008, 17.998869741000078)",30-04-2023.geojson,,,,,,
Mulugu,TSD0004,4189.02,"{ ""min"": 29.540863037109375, ""max"": 32.244964599609375, ""mean"": 30.839616105363177, ""count"": 37, ""sum"": 1141.0657958984375, ""median"": 30.82342529296875 }","(79.81612732700006, 17.99631982000011, 80.7937048350002, 18.63260770700009)",30-04-2023.geojson,,,,,,
Kamareddy,TSD0005,3701.83,"{ ""min"": 28.484100341796875, ""max"": 30.17779541015625, ""mean"": 29.217308493221509, ""count"": 34, ""sum"": 993.38848876953125, ""median"": 29.00958251953125 }","(77.52089201100006, 18.068441783000026, 78.56926485100007, 18.558842766000055)",30-04-2023.geojson,,,,,,
Karimnagar,TSD0006,2127.79,"{ ""min"": 30.038818359375, ""max"": 30.929107666015625, ""mean"": 30.438998752170139, ""count"": 18, ""sum"": 547.9019775390625, ""median"": 30.42822265625 }","(78.94956144100007, 18.132462591000035, 79.58025617800001, 18.678822129000025)",30-04-2023.geojson,,,,,,
Khammam,TSD0007,4491.25,"{ ""min"": 30.174896240234375, ""max"": 31.20123291015625, ""mean"": 30.69154618426067, ""count"": 41, ""sum"": 1258.3533935546875, ""median"": 30.71484375 }","(79.80212475200005, 16.768789670000046, 80.92560532200008, 17.577896090000024)",30-04-2023.geojson,,,,,,
Mahabubabad,TSD0008,3551.04,"{ ""min"": 29.626251220703125, ""max"": 30.53533935546875, ""mean"": 30.163862557246766, ""count"": 29, ""sum"": 874.75201416015625, ""median"": 30.211090087890625 }","(79.51293497700004, 17.321621569000058, 80.32312548900006, 18.106543834000092)",30-04-2023.geojson,,,,,,
